"It’s true. You talk too much. How to be a better listener: http://on.wsj.com/1b3VqFg

In an optimal conversation, each person talks about 50% of the time. What are your tips for having better conversations?

Photo illustration by Serge Bloch; Getty Images (teeth)",1381166057,2,25,81,2013-10-07 22:44:17,photo,added_photos
"A monster truck rally accident left 8 dead and 79 injured Saturday, when a truck went out of control and plunged into a crowd of spectators in Chihuahua, Mexico. http://on.wsj.com/19vw53L

Photo: El Diario de Chihuahua",1381162339,53,72,171,2013-10-07 21:42:19,photo,added_photos
"There's little correlation between the most-watched shows on TV and the ones that are tweeted about the most, new Nielsen data show. http://on.wsj.com/199pyQ9

CBS had 5 of the top 10 shows on TV during the week of Sept. 23, including ""The Big Bang Theory."" None of those was in the top 10 of the Twitter TV ratings.",1381156892,30,101,263,2013-10-07 20:11:32,photo,added_photos
"Here's a 6-step plan to address your 401(k) if you're within, say, 10 years of retirement: http://on.wsj.com/1fcJu8Z

Step 1: If you haven't done it lately, review your 401(k) investment mix.

What are you doing to prepare for retirement?",1381152576,14,128,215,2013-10-07 18:59:36,photo,added_photos
"The human supermarket checker is superior to the self-checkout machine in almost every way, one analyst says. http://bit.ly/1a53UJQ

Checking out groceries requires just enough mental-processing skills to be a challenge for computers.

What's your experience with humans v. machines at the grocery store?

Credit: Bloomberg News",1381148702,219,165,450,2013-10-07 17:55:02,photo,added_photos
"South Korea has the highest suicide rate in the developed world. Though still high, the rate has fallen for the first time in 6 years. http://on.wsj.com/1b28hrB 

The national rate was 28.1 per 100,000 in 2012, down from 31.7 a year earlier. That’s still more than double the average of 12.5 for members of the Organization for Economic Cooperation and Development.

Credit: Reuters",1381136401,37,199,568,2013-10-07 14:30:01,photo,added_photos
"In parts of India, old wives’ tales about women’s impurity during menstruation persist. http://on.wsj.com/19t3p18
 
Some of the strictures still in place for women during their monthly period include: 

Don’t enter the kitchen.
Don’t touch the pickles. 
Don’t go into the wine cellar. 
Don't swim.",1381129201,74,86,241,2013-10-07 12:30:01,link,shared_story
"This painting by Zeng Fanzhi sold for $23.3 million at a Sotheby’s auction in Hong Kong, setting a new record price for a work by an Asian contemporary artist. http://on.wsj.com/18IKeh3

What do you think about the work?

Credit: European Pressphoto Agency",1381122001,452,675,1441,2013-10-07 10:30:01,photo,added_photos
"Retail rents in the world's most expensive market are finally cooling following a slowdown in growth in luxury spending. http://on.wsj.com/1fbtRyv

Explore this interactive map of rising rents in key street-level shopping districts in Hong Kong: http://on.wsj.com/1clqjZu",1381108282,70,619,1016,2013-10-07 06:41:22,photo,added_photos
The tourism industry of a small village in Northern Scotland is being torn apart by a monstrous fight. A recently faked picture of the Loch Ness Monster has exposed a bitter truth: some key players in the Nessie industry don't believe the monster exists. http://on.wsj.com/1geITT5,1381011980,68,127,628,2013-10-06 03:56:20,status,mobile_status_update
"The nonprofit Center for Pet Safety in Reston, Va., has teamed up with auto maker Subaru to run tests on 11 pet safety belts. http://on.wsj.com/1a7D3hB

For the tests, the center designed some of the world's first crash-test ""dummy"" dogs.

Photo: Center for Pet Safety",1380921524,44,212,743,2013-10-05 02:48:44,photo,added_photos
Where are the most expensive places in the U.S. to remodel a home? The Northeast tops a new survey: http://on.wsj.com/1bx6SNW,1380914065,25,129,272,2013-10-05 00:44:25,photo,added_photos
"One man is on a mission to collect and photograph all the Apple products ever made: http://on.wsj.com/1gbbZTp

What is your favorite Apple product?

Pictured, the Lisa Mouse from 1983. (Credit: Jonathan Zufi)",1380911321,78,92,565,2013-10-04 23:58:41,photo,added_photos
Women with a university degree are almost twice as likely to drink alcohol on a daily basis as those without. The new face of risky drinking is female: http://on.wsj.com/18Z3q91,1380906743,277,1437,2155,2013-10-04 22:42:23,status,mobile_status_update
"Detroit Tigers' third baseman, Miguel Cabrera, has numbers that stun the baseball world, even though his style defies years of baseball wisdom. How he does it: http://on.wsj.com/1f5yOc4",1380901782,54,621,1070,2013-10-04 21:19:42,photo,added_photos
"Make way for Thanksgivukkah. This year, Thanksgiving and the first day of Hanukkah fall on the same date: Nov. 28. This may not happen again for another 70,000+ years.",1380894572,34,391,986,2013-10-04 19:19:32,link,shared_story
"How Twitter stacks up against Facebook, Google, LinkedIn and other tech companies when they filed for an IPO: http://on.wsj.com/GCxVK9

Do you think Twitter will be a good investment?",1380887680,109,1457,2145,2013-10-04 17:24:40,photo,added_photos
